"dataset","esn","unit","flight_cycle","datetime","operator","depart_icao","destination_icao","hpc_eff_mod","hpc_flow_mod","tra","t2","t24","t30","t50","p2","p15","p30","nf","nc","epr","ps30","phi","nrf","nrc","bpr","farb","htbleed","nf_dmd","pcnfr_dmd","w31","w32"
train_FD001,999001,1,1,2018-01-11 17:10:56,AIC,VTBS,VICG,-0.0005,0.0002,100,518.67,182.55,1584.02,1402.78,14.62,21.61,554.01,2388.11,9053.43,1.3,47.41,521.93,2388.12,8130.36,8.4279,0.03,392,2388,100,38.86,23.4513
train_FD001,999001,1,2,2018-01-12 01:07:00,AIC,VICG,VTBS,0.0016,-0.0003,100,518.67,182.54,1580.41,1403.09,14.62,21.61,554.06,2388.03,9046.09,1.3,47.3,521.72,2388.09,8134.28,8.423,0.03,391,2388,100,38.8,23.3881
train_FD001,999001,1,3,2018-01-12 02:06:59,AIC,VICG,VTBS,-0.0017,0.0001,100,518.67,182.74,1579.25,1406.81,14.62,21.61,553.76,2388.07,9054.42,1.3,47.27,521.97,2388.09,8133.95,8.3951,0.03,391,2388,100,38.84,23.3085
train_FD001,999001,1,4,2018-01-12 07:42:00,AIC,VTBS,VIDP,-0.0012,-0.0002,100,518.67,182.62,1592.04,1397.93,14.62,21.61,553.88,2388.03,9049.64,1.3,47.29,522.04,2388.1,8129.85,8.404,0.03,391,2388,100,39.03,23.3975
train_FD001,999001,1,5,2018-01-12 08:42:17,AIC,VTBS,VIDP,0.0027,0.0001,100,518.67,183.29,1584.65,1401.48,14.62,21.61,554.03,2388.07,9045.85,1.3,47.58,522.25,2387.97,8132.67,8.4135,0.03,392,2388,100,38.8,23.382
train_FD001,999001,1,6,2018-01-12 17:11:17,AIC,VTBS,VICG,0.0009,-0.0004,100,518.67,182.29,1582.32,1394.82,14.62,21.61,553.6,2388.07,9042.32,1.3,47.22,521.77,2388.11,8130.13,8.4621,0.03,392,2388,100,38.89,23.3521
train_FD001,999001,1,7,2018-01-12 17:47:00,AIC,VIDP,VOBL,-0.0015,0.0002,100,518.67,182.54,1589.21,1398.94,14.62,21.61,553.66,2388.02,9056.55,1.3,47.44,521.58,2388.03,8136.44,8.3996,0.03,390,2388,100,39.02,23.4428
train_FD001,999001,1,8,2018-01-12 18:47:01,AIC,VIDP,VOBL,0.0022,0.0004,100,518.67,182.88,1586.3,1400.97,14.62,21.61,554.61,2388.06,9046.44,1.3,47.41,521.6,2388.08,8135.25,8.453,0.03,393,2388,100,38.99,23.275
train_FD001,999001,1,9,2018-01-12 21:43:00,AIC,VOBL,VIDP,0.004,0.0002,100,518.67,182.32,1580.76,1404.1,14.62,21.61,553.47,2388.08,9042.37,1.3,47.4,522.28,2388.16,8133.91,8.3793,0.03,392,2388,100,38.88,23.3486
train_FD001,999001,1,10,2018-01-12 22:43:15,AIC,VOBL,VIDP,0.0022,-0.0002,100,518.67,182.45,1582.46,1403.93,14.62,21.61,553.77,2388.04,9047.86,1.3,47.35,521.85,2388.13,8135.4,8.4132,0.03,394,2388,100,38.9,23.3121
