"dataset","esn","unit","flight_cycle","datetime","operator","depart_icao","destination_icao","hpc_eff_mod","hpc_flow_mod","tra","t2","t24","t30","t50","p2","p15","p30","nf","nc","epr","ps30","phi","nrf","nrc","bpr","farb","htbleed","nf_dmd","pcnfr_dmd","w31","w32"
test_FD001,999126,26,1,2017-12-31 18:33:07,AXM,VTBD,VTUV,-0.0027,0.0006,100,518.67,642,1582.88,1399.92,14.62,21.61,554.54,2388.02,9060.88,1.3,47.38,522.55,2387.98,8147.17,8.3468,0.03,392,2388,100,38.82,23.3876
test_FD001,999126,26,2,2017-12-31 19:59:49,AXM,VTUV,VTBD,-0.0029,0.0002,100,518.67,642.35,1589.01,1398.46,14.62,21.61,554.11,2387.96,9063.16,1.3,47.21,521.85,2388.01,8146.58,8.4159,0.03,390,2388,100,39,23.3793
test_FD001,999126,26,3,2017-12-31 21:44:38,AXM,VTBD,VMMC,0.0008,0.0001,100,518.67,642.69,1590.16,1398.4,14.62,21.61,554.39,2387.99,9057.29,1.3,47.16,522.34,2388.05,8144.6,8.4444,0.03,391,2388,100,39.2,23.339
test_FD001,999126,26,4,2018-01-01 00:50:02,AXM,VMMC,VTBD,-0.0026,0.0005,100,518.67,641.76,1583.37,1389.66,14.62,21.61,553.59,2387.99,9064.94,1.3,47.19,522.03,2388,8147.98,8.3986,0.03,392,2388,100,38.97,23.3931
test_FD001,999126,26,5,2018-01-01 04:25:32,AXM,VTBD,VTSP,0.002,0.0005,100,518.67,642.54,1591.71,1403.84,14.62,21.61,554.51,2388.01,9062.58,1.3,47.38,522.04,2388,8142.07,8.4332,0.03,391,2388,100,39.11,23.3904
test_FD001,999126,26,6,2018-01-01 06:25:56,AXM,VTSP,VTBD,-0.0032,-0.0001,100,518.67,641.98,1592.68,1396.83,14.62,21.61,554.44,2388,9061.77,1.3,47.4,522.3,2387.98,8145.16,8.4348,0.03,392,2388,100,38.83,23.3659
test_FD001,999126,26,7,2018-01-01 08:37:05,AXM,VTBD,VTCC,0.0009,0.0003,100,518.67,642.06,1583.81,1395.99,14.62,21.61,553.65,2388.02,9063.44,1.3,47.29,522.5,2388.09,8140.98,8.4034,0.03,392,2388,100,38.97,23.4343
test_FD001,999126,26,8,2018-01-02 08:52:57,AXM,VTBD,VOTR,0.0035,0.0004,100,518.67,642.06,1583.4,1402.21,14.62,21.61,554.12,2388.03,9064.77,1.3,47.13,522.02,2388.02,8138.82,8.3913,0.03,392,2388,100,38.89,23.3488
test_FD001,999126,26,9,2018-01-05 02:37:00,AXM,VTBD,WSSS,-0.0012,-0.0001,100,518.67,641.68,1587.24,1405.59,14.62,21.61,553.93,2388.04,9061.31,1.3,47.28,522.36,2388.04,8145.24,8.4326,0.03,393,2388,100,38.96,23.4282
test_FD001,999126,26,10,2018-01-05 03:55:29,AXM,VTBD,WSSS,-0.0031,0.0007,100,518.67,642.24,1584.6,1401.89,14.62,21.61,554.06,2388.06,9056.59,1.3,47.27,522.3,2388.05,8142.45,8.3981,0.03,391,2388,100,38.94,23.4429
